Questions,Answers,Label
What is the core idea behind the Wyckoff Method?,Identify the path of least resistance by reading price–volume behavior to determine accumulation or distribution by large operators (the “Composite Man”).,Strategy Development
Who is the 'Composite Man' in Wyckoff’s framework and why does he matter?,A metaphor for dominant professional operators whose actions shape price and volume; studying his behavior helps align with smart money rather than trade against it.,Strategy Development
Name Wyckoff’s three fundamental laws.,"Supply and Demand, Cause and Effect, and Effort versus Result.",Strategy Development
How does the Law of Supply and Demand guide trade selection?,"When demand dominates (higher lows on expanding volume), favor long campaigns; when supply dominates (lower highs with supply swells), favor shorts or stay out.",Strategy Development
Explain the Law of Cause and Effect in practical terms.,The time and width of a trading range (cause) measured by point-and-figure counts projects the magnitude of the subsequent trend (effect).,Strategy Development
What does the Law of Effort vs. Result reveal?,"Compare volume (effort) to price spread and progress (result); a mismatch flags absorption, exhaustion, or hidden shifts in control.",Strategy Development
What market structure does Wyckoff focus on before trends start?,Trading ranges: Accumulation before uptrends and Distribution before downtrends.,Strategy Development
List the five phases of Accumulation.,Phase A: Stop the downtrend; Phase B: Build cause; Phase C: Spring/Shakeout; Phase D: Markup with SOS and LPS; Phase E: Trending.,Strategy Development
List typical events in Accumulation.,"PS (Preliminary Support), SC (Selling Climax), AR (Automatic Rally), ST (Secondary Test), Spring, Test, SOS (Sign of Strength), LPS (Last Point of Support).",Strategy Development
What defines a Spring in Accumulation?,"A false break below range support that swiftly reverses on demand, shaking out weak holders and testing supply.",Strategy Development
What is an LPS and why is it important?,A Last Point of Support: a higher low/pullback on light volume during Phase D that offers low-risk entries aligned with markup.,Strategy Development
How does Wyckoff define a Sign of Strength (SOS)?,"A rally with wide spreads and rising volume that decisively traverses the trading range, confirming demand dominance.",Strategy Development
What are the phases of Distribution?,Phase A: Stop the uptrend; Phase B: Build cause; Phase C: UT/UTAD; Phase D: Markdown with SOW and LPSY; Phase E: Trending down.,Strategy Development
Explain UT and UTAD.,Upthrust is a brief break above resistance that fails; UTAD (Upthrust After Distribution) is a terminal trap above the range before markdown.,Strategy Development
What is a SOW in Distribution?,Sign of Weakness: a sharp decline on increased volume across the range that indicates supply dominance.,Strategy Development
How does Change of Character (ChoCh) fit into Wyckoff analysis?,A sudden shift in volatility/spread/volume from one regime to another signals transition between phases or trend changes.,Strategy Development
